date,Date,Open,Close,High,Low,Volume,Code
2017-02-17,2017-02-17,10.174,9.106,9.203,9.086,423774.0,000001
2017-02-20,2017-02-20,10.116,9.271,9.29,9.116,898755.0,000001
2017-02-21,2017-02-21,10.261,9.28,9.329,9.251,646584.0,000001
2017-02-22,2017-02-22,10.28,9.28,9.28,9.213,462966.0,000001
2017-02-23,2017-02-23,10.261,9.222,9.28,9.193,335327.0,000001
2017-02-24,2017-02-24,10.213,9.213,9.251,9.193,332500.0,000001
2017-02-27,2017-02-27,10.213,9.145,9.213,9.135,407341.0,000001
2017-02-28,2017-02-28,10.145,9.193,9.222,9.135,369719.0,000001
2017-03-01,2017-03-01,10.203,9.203,9.261,9.183,346993.0,000001
2017-03-02,2017-03-02,10.222,9.145,9.251,9.135,403628.0,000001
2017-03-03,2017-03-03,10.125,9.116,9.145,9.077,342655.0,000001
2017-03-06,2017-03-06,10.116,9.164,9.174,9.106,404511.0,000001
2017-03-07,2017-03-07,10.154,9.164,9.174,9.116,294672.0,000001
2017-03-08,2017-03-08,10.145,9.135,9.164,9.116,244438.0,000001
2017-03-09,2017-03-09,10.125,9.096,9.145,9.077,378169.0,000001
2017-03-10,2017-03-10,10.096,9.116,9.125,9.077,390182.0,000001
2017-03-13,2017-03-13,10.106,9.154,9.164,9.086,545304.0,000001
2017-03-14,2017-03-14,10.145,9.154,9.174,9.125,404484.0,000001
2017-03-15,2017-03-15,10.135,9.193,9.193,9.135,546560.0,000001
2017-03-16,2017-03-16,10.193,9.232,9.242,9.164,635953.0,000001
2017-03-17,2017-03-17,10.164,9.028,9.174,9.019,1583647.0,000001
2017-03-20,2017-03-20,10.009,8.97,9.028,8.941,715021.0,000001
2017-03-21,2017-03-21,9.97,8.96,8.98,8.922,554648.0,000001
2017-03-22,2017-03-22,9.922,8.883,8.941,8.863,566123.0,000001
2017-03-23,2017-03-23,9.883,8.922,8.96,8.873,433588.0,000001
2017-03-24,2017-03-24,9.922,8.912,8.96,8.883,710827.0,000001
2017-03-27,2017-03-27,9.844,8.863,8.912,8.805,985012.0,000001
2017-03-28,2017-03-28,9.883,8.844,8.892,8.825,481372.0,000001
2017-03-29,2017-03-29,9.854,8.834,8.873,8.815,601140.0,000001
2017-03-30,2017-03-30,9.844,8.805,8.844,8.786,687285.0,000001
2017-03-31,2017-03-31,9.805,8.892,8.902,8.805,633121.0,000001
2017-04-05,2017-04-05,9.883,8.931,8.941,8.873,499150.0,000001
2017-04-06,2017-04-06,9.922,8.922,8.941,8.892,434391.0,000001
2017-04-07,2017-04-07,9.912,8.922,8.941,8.892,514844.0,000001
2017-04-10,2017-04-10,9.922,8.902,8.931,8.892,401343.0,000001
2017-04-11,2017-04-11,9.892,8.873,8.912,8.815,612437.0,000001
2017-04-12,2017-04-12,9.883,8.844,8.892,8.825,455336.0,000001
2017-04-13,2017-04-13,9.834,8.844,8.863,8.825,357442.0,000001
2017-04-14,2017-04-14,9.834,8.805,8.844,8.786,490500.0,000001
2017-04-17,2017-04-17,9.805,8.825,8.834,8.776,531892.0,000001
2017-04-18,2017-04-18,9.815,8.776,8.825,8.776,335376.0,000001
2017-04-19,2017-04-19,9.757,8.64,8.766,8.631,799668.0,000001
2017-04-20,2017-04-20,9.631,8.65,8.669,8.621,437629.0,000001
2017-04-21,2017-04-21,9.65,8.699,8.718,8.631,325408.0,000001
2017-04-24,2017-04-24,9.699,8.66,8.708,8.621,394995.0,000001
2017-04-25,2017-04-25,9.66,8.728,8.737,8.66,377933.0,000001
2017-04-26,2017-04-26,9.728,8.718,8.737,8.689,382147.0,000001
2017-04-27,2017-04-27,9.699,8.699,8.708,8.64,387392.0,000001
2017-04-28,2017-04-28,9.689,8.718,8.718,8.65,286446.0,000001
2017-05-02,2017-05-02,9.689,8.669,8.689,8.631,311026.0,000001
2017-05-03,2017-05-03,9.65,8.64,8.66,8.621,280310.0,000001
2017-05-04,2017-05-04,9.621,8.476,8.621,8.456,696517.0,000001
2017-05-05,2017-05-05,9.476,8.369,8.495,8.32,623700.0,000001
2017-05-08,2017-05-08,9.34,8.311,8.359,8.282,460089.0,000001
2017-05-09,2017-05-09,9.301,8.379,8.379,8.291,324194.0,000001
2017-05-10,2017-05-10,9.369,8.408,8.534,8.359,573077.0,000001
2017-05-11,2017-05-11,9.388,8.437,8.456,8.34,503643.0,000001
2017-05-12,2017-05-12,9.417,8.631,8.631,8.379,917968.0,000001
2017-05-15,2017-05-15,9.621,8.592,8.679,8.543,536578.0,000001
2017-05-16,2017-05-16,9.572,8.572,8.582,8.466,524872.0,000001
2017-05-17,2017-05-17,9.543,8.505,8.543,8.485,417338.0,000001
2017-05-18,2017-05-18,9.456,8.466,8.505,8.446,227401.0,000001
2017-05-19,2017-05-19,9.476,8.427,8.495,8.417,294270.0,000001
2017-05-22,2017-05-22,9.417,8.417,8.466,8.349,679120.0,000001
2017-05-23,2017-05-23,9.408,8.524,8.572,8.379,800040.0,000001
2017-05-24,2017-05-24,9.514,8.543,8.563,8.417,532376.0,000001
2017-05-25,2017-05-25,9.524,8.825,8.863,8.514,1621543.0,000001
2017-05-26,2017-05-26,9.805,8.825,8.854,8.766,895365.0,000001
2017-05-31,2017-05-31,9.825,8.922,8.951,8.786,1033210.0,000001
2017-06-01,2017-06-01,9.922,8.912,8.951,8.844,566182.0,000001
2017-06-02,2017-06-02,9.902,8.892,9.009,8.863,770757.0,000001
2017-06-05,2017-06-05,9.854,8.757,8.892,8.718,634132.0,000001
2017-06-06,2017-06-06,9.737,8.766,8.786,8.718,355341.0,000001
2017-06-07,2017-06-07,9.747,8.854,8.873,8.737,645723.0,000001
2017-06-08,2017-06-08,9.834,8.854,8.873,8.805,383004.0,000001
2017-06-09,2017-06-09,9.873,8.873,8.941,8.844,685468.0,000001
2017-06-12,2017-06-12,9.873,8.834,8.912,8.825,504578.0,000001
2017-06-13,2017-06-13,9.834,8.844,8.863,8.776,448434.0,000001
2017-06-14,2017-06-14,9.844,8.805,8.854,8.766,375444.0,000001
2017-06-15,2017-06-15,9.805,8.766,8.805,8.757,337797.0,000001
2017-06-16,2017-06-16,9.766,8.747,8.805,8.737,285991.0,000001
2017-06-19,2017-06-19,9.757,8.854,8.873,8.747,489704.0,000001
2017-06-20,2017-06-20,9.844,8.844,8.883,8.815,313615.0,000001
2017-06-21,2017-06-21,9.892,8.873,8.902,8.834,496932.0,000001
2017-06-22,2017-06-22,9.873,8.97,9.116,8.863,1426958.0,000001
2017-06-23,2017-06-23,9.951,8.97,8.989,8.883,584004.0,000001
2017-06-26,2017-06-26,9.98,9.019,9.116,8.98,710769.0,000001
2017-06-27,2017-06-27,10.019,9.077,9.106,8.989,546016.0,000001
2017-06-28,2017-06-28,10.067,9.145,9.203,9.048,1168796.0,000001
2017-06-29,2017-06-29,10.145,9.145,9.164,9.086,488804.0,000001
2017-06-30,2017-06-30,10.116,9.106,9.145,9.028,499633.0,000001
2017-07-03,2017-07-03,10.116,9.116,9.145,9.057,388349.0,000001
2017-07-04,2017-07-04,10.116,9.057,9.125,9.019,488362.0,000001
2017-07-05,2017-07-05,10.009,9.086,9.096,8.989,567720.0,000001
2017-07-06,2017-07-06,10.077,9.116,9.125,9.028,738911.0,000001
2017-07-07,2017-07-07,10.086,9.183,9.193,9.057,760369.0,000001
2017-07-10,2017-07-10,10.164,9.3,9.368,9.154,1360815.0,000001
2017-07-11,2017-07-11,10.319,9.94,10.143,9.319,3812086.0,000001
2017-07-12,2017-07-12,10.959,10.027,10.26,9.891,2998844.0,000001
2017-07-13,2017-07-13,10.988,10.57,10.57,9.93,2994534.0,000001
2017-07-14,2017-07-14,11.483,10.57,10.609,10.337,1722570.0,000001
2017-07-17,2017-07-17,11.619,10.483,10.987,10.396,3273123.0,000001
2017-07-18,2017-07-18,11.425,10.716,10.803,10.299,2349431.0,000001
2017-07-19,2017-07-19,11.657,10.754,10.851,10.551,1933075.0,000001
2017-07-20,2017-07-20,11.745,10.638,10.88,10.58,1537338.0,000001
2017-07-21,2017-07-21,11.658,10.717,10.776,10.52,1501020.0,000001
2017-07-24,2017-07-24,11.648,10.776,10.884,10.559,1692664.0,000001
2017-07-25,2017-07-25,11.805,10.825,11.091,10.776,1954768.0,000001
2017-07-26,2017-07-26,11.746,10.569,11.002,10.491,1697412.0,000001
2017-07-27,2017-07-27,11.55,10.422,10.599,10.363,1194490.0,000001
2017-07-28,2017-07-28,11.441,10.569,10.638,10.412,819195.0,000001
2017-07-31,2017-07-31,11.628,10.5,10.648,10.284,1575864.0,000001
2017-08-01,2017-08-01,11.471,10.865,10.904,10.432,2035709.0,000001
2017-08-02,2017-08-02,11.874,10.973,11.16,10.786,2062069.0,000001
2017-08-03,2017-08-03,11.963,10.835,11.042,10.796,984219.0,000001
2017-08-04,2017-08-04,11.825,10.992,11.111,10.756,1353951.0,000001
2017-08-07,2017-08-07,11.884,10.825,10.992,10.727,860644.0,000001
2017-08-08,2017-08-08,11.825,10.874,10.933,10.737,689567.0,000001
2017-08-09,2017-08-09,11.786,10.559,10.845,10.51,1042321.0,000001
2017-08-10,2017-08-10,11.53,10.451,10.648,10.372,959879.0,000001
2017-08-11,2017-08-11,11.313,9.861,10.372,9.831,2440643.0,000001
2017-08-14,2017-08-14,10.969,10.058,10.087,9.88,1157664.0,000001
2017-08-15,2017-08-15,11.077,10.146,10.343,10.048,1075162.0,000001
2017-08-16,2017-08-16,11.126,10.176,10.205,9.989,756806.0,000001
2017-08-17,2017-08-17,11.185,10.254,10.254,10.126,553642.0,000001
2017-08-18,2017-08-18,11.195,10.274,10.432,10.126,616520.0,000001
2017-08-21,2017-08-21,11.264,10.294,10.353,10.225,399154.0,000001
2017-08-22,2017-08-22,11.313,10.481,10.491,10.205,875681.0,000001
2017-08-23,2017-08-23,11.461,10.727,10.805,10.422,1319151.0,000001
2017-08-24,2017-08-24,11.717,10.756,10.933,10.668,924248.0,000001
2017-08-25,2017-08-25,11.766,10.933,10.992,10.727,963940.0,000001
2017-08-28,2017-08-28,11.924,11.17,11.357,10.924,1603938.0,000001
2017-08-29,2017-08-29,12.12,11.484,11.553,11.101,1357983.0,000001
2017-08-30,2017-08-30,12.494,11.248,11.514,11.17,1096674.0,000001
2017-08-31,2017-08-31,12.209,11.101,11.258,10.973,1151786.0,000001
2017-09-01,2017-09-01,12.101,11.032,11.209,10.973,959976.0,000001
2017-09-04,2017-09-04,12.002,11.534,11.534,10.992,1352325.0,000001
2017-09-05,2017-09-05,12.494,11.455,11.75,11.416,1287518.0,000001
2017-09-06,2017-09-06,12.406,11.514,11.691,11.298,791621.0,000001
2017-09-07,2017-09-07,12.465,11.258,11.563,11.209,614187.0,000001
2017-09-08,2017-09-08,12.278,11.307,11.455,11.199,481276.0,000001
2017-09-11,2017-09-11,12.357,11.199,11.504,11.12,699472.0,000001
